image_id,user_id,entity_id,image_path,text_context,label,provenance,text_polarity,user_credibility
img00000,u00063,e020,img_00000.png,beautiful clean destination,1,0.887085769528866,0.75,0.8790268711648838
img00001,u00052,e003,img_00001.png,beautiful clean destination,1,0.7372743336713661,0.75,0.9249643095378022
img00002,u00016,e006,img_00002.png,crowded poor destination,0,0.9299340278665816,0.35,0.9029778502368723
img00003,u00044,e022,img_00003.png,beautiful clean destination,1,0.8336188801128512,0.75,0.8812526635681074
img00004,u00005,e018,img_00004.png,beautiful clean destination,1,0.9344381745927651,0.75,0.9593274333073748
img00005,u00000,e010,img_00005.png,beautiful clean destination,1,0.9364177660430835,0.75,0.8418836263818099
img00006,u00077,e028,img_00006.png,crowded poor destination,0,0.7098565219835552,0.35,0.9513757622622508
img00007,u00021,e025,img_00007.png,crowded poor destination,0,0.7579529383605451,0.35,0.8292890551643305
img00008,u00060,e000,img_00008.png,beautiful clean destination,1,0.7619367711773184,0.75,0.9108419729885149
img00009,u00051,e019,img_00009.png,crowded poor destination,0,0.8849831066414617,0.35,0.9277190198542005
img00010,u00049,e018,img_00010.png,beautiful clean destination,1,0.565042506389957,0.75,0.6264815802885171
img00011,u00016,e025,img_00011.png,crowded poor destination,0,0.9205240509044459,0.35,0.7951071299880711
img00012,u00060,e005,img_00012.png,crowded poor destination,0,0.8412132099717893,0.35,0.8400750026094381
img00013,u00023,e008,img_00013.png,beautiful clean destination,1,0.7537430446081869,0.75,0.8788364938232494
img00014,u00034,e012,img_00014.png,crowded poor destination,0,0.6892488742243083,0.35,0.784597023406768
img00015,u00059,e009,img_00015.png,crowded poor destination,0,0.649979940544644,0.35,0.9366444709552334
img00016,u00075,e003,img_00016.png,beautiful clean destination,1,0.895721569352088,0.75,0.7594891978553424
img00017,u00007,e000,img_00017.png,beautiful clean destination,1,0.8557777134209595,0.75,0.9008568708833959
img00018,u00022,e024,img_00018.png,beautiful clean destination,1,0.721407908951814,0.75,0.8162482592809641
img00019,u00039,e019,img_00019.png,beautiful clean destination,1,0.8617942814747628,0.75,0.90463049209179
img00020,u00069,e002,img_00020.png,beautiful clean destination,1,0.7383858009123906,0.75,0.7460680848467119
img00021,u00020,e003,img_00021.png,beautiful clean destination,1,0.7593137702219251,0.75,0.9342176769643592
img00022,u00048,e004,img_00022.png,beautiful clean destination,1,0.8950228861661039,0.75,0.825515854865661
img00023,u00036,e000,img_00023.png,beautiful clean destination,1,0.8736479047176884,0.75,0.7578989302839718
img00024,u00060,e027,img_00024.png,crowded poor destination,0,0.7839896525137505,0.35,0.7822383061068623
img00025,u00030,e007,img_00025.png,beautiful clean destination,1,0.9474577316129029,0.75,0.9639040337172599
img00026,u00061,e000,img_00026.png,crowded poor destination,0,0.8042100598281723,0.35,0.9382957147777718
img00027,u00035,e029,img_00027.png,crowded poor destination,0,0.604337173511009,0.35,0.8944994963158773
img00028,u00001,e004,img_00028.png,crowded poor destination,0,0.8440606894544098,0.35,0.49292252916637896
img00029,u00034,e019,img_00029.png,crowded poor destination,0,0.5064470329970678,0.35,0.783114316303847
img00030,u00026,e017,img_00030.png,beautiful clean destination,1,0.7686643910521509,0.75,0.7091118371047773
img00031,u00079,e010,img_00031.png,beautiful clean destination,1,0.6318620812941292,0.75,0.8708682914941624
img00032,u00060,e012,img_00032.png,crowded poor destination,0,0.955348020827227,0.35,0.6343657689325429
img00033,u00045,e021,img_00033.png,beautiful clean destination,1,0.8229323780422222,0.75,0.424626855321168
img00034,u00071,e018,img_00034.png,crowded poor destination,0,0.6242424200144131,0.35,0.7746172732376677
img00035,u00071,e012,img_00035.png,beautiful clean destination,1,0.4209353562175115,0.75,0.5669555286442431
img00036,u00009,e008,img_00036.png,beautiful clean destination,1,0.7727500032238392,0.75,0.779173784951908
img00037,u00064,e022,img_00037.png,crowded poor destination,0,0.9017711770789811,0.35,0.7330206421518018
img00038,u00016,e020,img_00038.png,beautiful clean destination,1,0.8703698191999738,0.75,0.7445182507545196
img00039,u00025,e029,img_00039.png,beautiful clean destination,1,0.5153072312096967,0.75,0.7305505705825867
