review_id,user_id,entity_id,review_text,rating,credibility,recency_weight,timestamp
r000000,u00025,e021,Museum restaurant clean museum hotel museum clean beautiful beach beach booking beautiful.,4,0.9541187656568475,0.780923684330654,2026-03-20
r000001,u00007,e020,Museum clean trip amazing trip booking tour booking restaurant excellent excellent restaurant.,4,0.5452814616057088,0.7855195606147675,2026-04-29
r000002,u00019,e001,Dirty friendly trip clean hotel booking restaurant tour hotel late hotel museum.,3,0.7790708453017986,0.695802833265454,2026-02-20
r000003,u00027,e003,Tour family unsafe booking dirty family tour restaurant unsafe trip tour unsafe.,3,0.9285279421535052,0.4294007127417436,2026-03-25
r000004,u00027,e009,Late trip excellent clean restaurant booking tour clean museum trip booking beach.,3,0.7734659735431445,0.5560511945036397,2026-02-20
r000005,u00057,e010,Tour friendly restaurant booking late family clean restaurant family hotel hotel friendly.,3,0.8871093179116236,0.849091838150487,2026-04-12
r000006,u00025,e006,Tour family museum excellent booking restaurant amazing friendly family clean trip booking.,4,0.7962614442204315,0.7479616447887895,2026-01-12
r000007,u00027,e004,Booking beautiful recommended family trip museum beautiful recommended hotel trip booking booking.,5,0.9070825179976283,0.8211342895932195,2026-05-02
r000008,u00074,e011,Dirty trip beach museum beach unsafe beach clean late trip booking beach.,3,0.9586251872617497,0.7739108647925332,2026-03-17
r000009,u00042,e009,Dirty tour late museum hotel museum restaurant family late restaurant late booking.,3,0.6545793793885042,0.7342489167740037,2026-04-26
r000010,u00033,e029,Tour comfortable booking recommended booking recommended tour museum hotel beautiful beach tour.,4,0.6338911756391555,0.845286078602401,2026-01-26
r000011,u00001,e005,Beach clean museum booking tour beautiful tour beautiful amazing tour hotel hotel.,4,0.6949444015886381,0.6756108987291174,2026-01-19
r000012,u00076,e001,Beach booking beach clean family trip booking amazing hotel excellent friendly trip.,4,0.8984508996078466,0.51697345878897,2026-06-21
r000013,u00060,e002,Beach friendly excellent restaurant beach dirty trip friendly tour restaurant tour museum.,3,0.9621905163463984,0.9663267280390476,2026-05-17
r000014,u00075,e022,Beach booking comfortable tour trip restaurant beach friendly comfortable beautiful hotel restaurant.,4,0.8616295800183539,0.865197175074649,2026-02-06
r000015,u00059,e005,Clean beautiful hotel comfortable beautiful trip tour family museum beach hotel restaurant.,5,0.7295374965587009,0.9043037493611891,2026-02-21
r000016,u00028,e022,Hotel restaurant restaurant hotel hotel poor bad museum restaurant restaurant unsafe poor.,2,0.8816408173688662,0.7072913192440311,2026-06-05
r000017,u00034,e014,Unsafe museum friendly tour hotel hotel family trip unsafe late museum beach.,3,0.9542585943965175,0.5467736099317052,2026-05-25
r000018,u00066,e016,Family rude booking museum restaurant family beach unsafe crowded expensive beach museum.,2,0.7247660714507895,0.681421424182887,2026-01-29
r000019,u00038,e029,Restaurant bad crowded bad beach expensive family trip museum trip tour booking.,2,0.8061739667667698,0.7910188626879957,2026-06-04
r000020,u00017,e028,Beach late restaurant hotel bad beach museum beach crowded family museum late.,2,0.4297908352151935,0.6018812693825412,2026-06-09
r000021,u00054,e004,Recommended tour comfortable tour tour beautiful booking beautiful tour trip beach family.,4,0.8287648802590047,0.6179065922674154,2026-03-24
r000022,u00039,e007,Museum late museum trip poor beach trip unsafe museum crowded family family.,2,0.7733641147135034,0.7931320309122039,2026-01-11
r000023,u00041,e022,Family friendly beach beautiful friendly tour comfortable beach hotel family booking trip.,4,0.9407137130403511,0.8413151567337374,2026-05-11
r000024,u00020,e023,Safe beach trip museum restaurant museum clean hotel booking amazing clean trip.,4,0.8419554269861689,0.6147506758378997,2026-01-01
r000025,u00078,e013,Clean trip hotel tour museum trip safe comfortable family restaurant trip amazing.,4,0.6578371674816512,0.6851484752415115,2026-04-28
r000026,u00063,e015,Expensive hotel dirty bad hotel restaurant restaurant beach family expensive trip tour.,1,0.8828837133876424,0.8096634269223556,2026-01-24
r000027,u00067,e007,Museum trip unsafe unsafe beach friendly hotel beach beach restaurant family unsafe.,3,0.9836863429794701,0.7832052099763616,2026-04-01
r000028,u00073,e028,Tour amazing friendly restaurant museum beach family excellent booking family trip clean.,4,0.8998267408165973,0.7465082702922529,2026-02-04
r000029,u00058,e000,Trip recommended trip safe restaurant family booking trip tour beautiful beach comfortable.,4,0.5785795074894887,0.4967559597545104,2026-03-30
r000030,u00030,e028,Beach dirty hotel rude unsafe hotel bad restaurant hotel family restaurant museum.,2,0.8596236591933344,0.6510401611678602,2026-05-12
r000031,u00011,e027,Beach tour booking excellent clean clean late restaurant hotel tour trip museum.,3,0.7224595762105888,0.9497805946301616,2026-01-03
r000032,u00079,e008,Hotel excellent restaurant trip beach friendly tour trip late clean family tour.,3,0.8427559665017721,0.8394582571510265,2026-05-09
r000033,u00045,e006,Booking late booking booking restaurant trip late dirty family late museum beach.,3,0.9358398721993011,0.8860201056088294,2026-06-14
r000034,u00075,e003,Amazing hotel hotel excellent excellent restaurant museum hotel trip beach museum beautiful.,5,0.953681243535526,0.6724728360962009,2026-03-08
r000035,u00077,e002,Tour clean restaurant hotel tour booking beach late museum friendly excellent restaurant.,3,0.8851426152558207,0.7504529859192278,2026-06-09
